"X","Y","pH60_100cm","Terrain_Ruggedness_Index","AACN","Landsat_Band1","Elevation","Hillshading","Light_insolation","Mid_Slope_Positon","MRVBF","NDVI","TWI","Slope","residual","looResiduals"
341877.627,6365590.36,4.835034,2.856401,19.814468,42,117.610703,3.078571,1764.85645,0.007002,1.488355,-0.41573,14.044784,3.67721,-0.384671280433334,-0.808750247455958
341142,6364766,6.173306,3.771146,17.091003,55,121.828796,3.719733,1774.13818,0.83509,1.583791,-0.157895,15.16819,4.883908,-0.177527447549994,-0.513714472185921
341523,6367316.3,8.166198,6.099854,24.172073,37,120.621498,4.623542,1726.85169,0.330533,0.435487,-0.170732,13.1792,6.368462,0.785316348616691,1.52464719400274
340061.885,6369591.29,6.5,0.957532,2.731087,56,104.435204,1.027915,1713.00549,0.862199,3.930038,-0.149606,18.513733,1.057509,-0.128621297366669,-0.148560242079713
339818.8,6367480.7,5.341181,4.899387,12.620361,49,138.555801,4.546092,1682.48132,0.61041,0.509646,-0.176471,14.139522,5.441428,-0.348251953016638,-0.787787305616434
341834.8,6365965.5,5.105023,2.738814,23.393959,49,120.793999,2.978073,1662.69507,0.32471,0.507195,-0.204082,11.739967,2.792189,-0.196557155983332,-0.456690787089137
340613.079,6369467.51,7.338925,2.097212,3.401306,57,99.2845,4.783972,1653.99768,0.83521,3.4771,-0.179104,17.691696,4.199913,0.106841640500002,0.170723918187869
340800.902,6366318.13,7.404792,14.485963,59.905304,40,167.133804,22.513018,1342.93042,0.290904,2.7e-05,-0.2,9.606116,18.697443,-0.103408673366677,-0.236041757894027
340486,6365016,5.924668,7.881851,71.40564,55,180.185196,9.517974,1845.13892,0.690431,0.009906,-0.132353,8.998396,11.112917,-0.730163362433307,-1.4752585630291
340162,6366096,6.949262,7.254566,74.307495,62,188.116806,8.185052,1855.30151,0.27536,0.02031,-0.15625,9.802121,10.587282,0.0818596862666627,0.3337680667516
340561.8,6366992.5,6.348118,7.93618,43.680367,49,154.399704,13.757986,1549.75232,0.365404,0.132595,-0.327103,10.218688,10.126941,-0.245296589266648,-0.308346006666353
340286,6365903,6.236763,9.118139,88.751846,54,200.736298,10.214942,1680.22974,0.772964,0.025957,-0.203252,8.953556,8.295521,-0.478225948733323,-0.921789277185914
340151.1,6366794.1,6.029054,6.805496,60.03054,47,178.168304,4.065152,1693.88684,0.681165,0.073815,-0.263158,9.40091,4.841461,-0.317336619009506,-0.610812026021865
340964.594,6369730.77,5.604514,1.101063,2.512978,63,94.317253,1.428278,1726.15454,0.841916,3.954848,-0.157895,18.001677,1.521776,-0.657731675166658,-1.90696885909639
341410.178,6369173.32,7.01334,1.488503,1.187096,64,89.133499,2.100357,1742.00635,0.917989,2.940422,-0.166667,18.184336,2.367859,0.118820281999984,0.505911541502839
341299,6364532,7.151688,5.645596,19.046783,46,123.016701,9.113544,1685.75305,0.464276,0.632383,-0.22449,11.917994,7.622846,0.32043341411666,0.622911492527079
340060.679,6370318.89,4.478705,3.496833,20.118553,52,125.834503,2.147885,1743.99182,0.574985,0.045724,-0.095652,12.702254,2.354205,-0.79924210240002,-1.75990010445318
340455.086,6369138.34,4.719742,2.235389,5.681999,57,104.340797,2.498932,1737.51563,0.745051,0.282899,-0.186992,17.54739,2.636051,-0.347299465816683,-0.788575237259223
341243.4,6367296.3,6.574657,4.913938,24.022499,49,124.031998,6.010391,1701.35913,0.232371,0.205357,-0.140187,13.236855,5.367867,0.144453556883325,0.169621254689109
342548.2,6367922.69,5.475299,3.093683,25.581818,53,109.624496,2.211175,1727.39624,0.098834,1.934077,-0.226415,12.404269,2.619497,-0.133460104666669,-0.452800458898122
340722,6368583,4.892482,3.834908,10.883995,54,109.668503,2.892998,1758.0863,0.537665,0.21572,-0.193277,15.541087,3.550982,-0.181268847866681,-0.266974792034532
340203.7,6366900.3,6.251329,8.301124,63.174599,49,180.840302,4.69999,1768.92468,0.793778,0.018329,-0.212121,9.099071,6.987611,0.0917494373381027,0.315297138417755
339712.9,6367489,5.970502,2.748777,1.732193,54,130.516998,2.423948,1723.02979,0.929352,2.73198,-0.204082,16.870617,2.883228,-0.729833027433345,-1.60677828145036
340753.628,6367701.89,4.719281,6.06383,40.631958,44,144.7733,8.5357,1734.19898,0.595198,0.304202,-0.320388,9.794803,7.706755,-0.603336312216666,-1.30502600769369
340313.253,6365309.76,7.392795,5.536157,28.106758,47,138.449799,3.83531,1754.4104,0.885041,0.903001,-0.226415,15.6879,5.214718,0.27658115643334,1.02907912327324
340473,6366985.6,5.996918,6.810023,53.417778,48,165.494995,15.179913,1562.19922,0.380754,0.030613,-0.339623,9.110393,10.919565,-0.339236571083329,-0.530811606788779
341185.785,6368941.26,6.489716,3.817485,7.530922,61,98.781502,3.241439,1760.49976,0.684828,1.383632,-0.168,15.813972,4.130964,-0.00272229026667592,0.452426483049641
341781.4,6367731.9,8.284206,6.545182,38.730507,44,130.520493,3.656633,1778.06384,0.839554,0.022777,-0.115385,9.257535,4.479228,0.235252664949988,0.174820569571413
341210.346,6369665.7,8.325839,0.871194,2.619911,59,91.604752,0.940638,1691.0376,0.893231,3.964566,-0.193798,19.013823,0.945443,0.318010960816666,0.710163932084493
341130.968,6368944.55,3.437355,4.383979,7.775093,63,99.698997,5.793205,1785.83667,0.672212,0.603852,-0.175573,15.10582,6.438053,-1.21861444023334,-2.47103261454425
340911,6366492,8.097675,10.581513,106.189316,53,212.227798,4.235096,1797.09058,0.935266,0.004846,-0.184,9.047778,5.149288,0.249716314489302,0.55153549401014
