"id","pH60_100cm","x","y","AACN","Elevation","Hillshading","Landsat_Band1","Light_insolation","Mid_Slope_Positon","MRVBF","NDVI","Slope","Terrain_Ruggedness_Index","TWI","residual","looResiduals"
21,5,341737.119,6368868.59,23.3442764282227,108.773002624512,5.35381698608398,54,1684.75622558594,0.632016003131866,0.627234995365143,-0.13043500483036,4.7422947883606,4.0101580619812,10.984658241272,-0.602335666666663,-1.18186652968913
376,6.48,340670,6366323,47.5662384033203,156.531295776367,12.1891231536865,56,1527.4765625,0.601724028587341,0.118626996874809,-0.235293999314308,9.67469215393066,9.19145393371582,10.5232257843018,-0.236716833333318,-0.54379974685136
340,6.05,342583,6366860,35.7086181640625,123.975303649902,2.62942910194397,41,1725.9248046875,0.774330019950867,0.174695000052452,-0.40659299492836,2.64402198791504,2.39939904212952,11.1475801467896,0.0695139999999865,0.281518588467371
208,5.08,341261.701,6368430.05,38.5776138305664,131.847702026367,0.662701010704041,55,1706.9091796875,0.805373013019562,0.0553850010037422,-0.292035013437271,0.676432013511658,1.48301100730896,11.72607421875,-0.502247999999988,-0.833962995716136
30,7.07,338581.952,6369969.46,49.5538177490234,171.307800292969,4.10398006439209,46,1651.84497070312,0.764414012432098,0.0244009997695684,-0.132074996829033,3.72429895401001,5.9749870300293,9.67778396606445,0.0311281666667016,0.26576821189053
499,6.93,341117,6364816,14.5502243041992,119.399002075195,4.71919918060303,54,1648.69873046875,0.858802974224091,1.55260097980499,-0.189655005931854,4.15580892562866,6.87509107589722,15.4810857772827,-0.127928666666684,-0.481828688445632
206,5.49,340227.335,6370166.83,8.19255828857422,110.433700561523,4.23989200592041,54,1642.89978027344,0.335471004247665,0.592104017734528,-0.168142005801201,3.83771991729736,3.78400993347168,14.7580327987671,-0.00363466666664625,0.124335314428948
297,6.17,341734.2,6367171.1,29.3702087402344,124.323196411133,8.28412437438965,40,1664.50622558594,0.10428199917078,0.343942999839783,-0.142857000231743,6.84247922897339,6.39150905609131,10.5914039611816,-0.258618499999998,-0.872154303929032
219,5.48,341365.9,6368066.8,29.9413528442383,124.358497619629,7.92253112792969,53,1628.51489257812,0.664205014705658,0.0930109992623329,-0.135134994983673,6.4417781829834,5.22684717178345,10.5191984176636,-0.387646666666649,-1.05233708997746
82,6.36,340392.689,6369299.75,0,98.8639984130859,0.836860001087189,52,1696.96447753906,0.879855990409851,3.80129194259644,-0.24193499982357,0.843959987163544,1.76919400691986,19.466796875,-0.234749333333319,-0.629004614585805
96,6.49,340926.09,6369344.04,2.05258893966675,94.5752487182617,0.662513971328735,66,1714.21716308594,0.9167600274086,3.9520800113678,-0.174603000283241,0.697296977043152,0.639576017856598,19.2345695495605,-0.246723333333311,-0.85185658982363
506,7.17,340598,6365526,22.8255310058594,131.249298095703,2.4011549949646,54,1744.341796875,0.91219699382782,2.95517802238464,-0.172414004802704,2.60489892959595,2.87077188491821,16.9450397491455,0.036985666666653,0.108805375125507
169,5.07,340723.705,6368048.21,34.0600738525391,136.00520324707,4.50962114334106,53,1786.76037597656,0.443850994110107,0.523599982261658,-0.288136005401611,5.29037380218506,4.51323890686035,10.4647541046143,-0.226336166666663,-0.251134522081776
413,7.31,340589,6365740,64.8484344482422,173.764297485352,6.03493118286133,47,1713.40185546875,0.873062014579773,0.0161479990929365,-0.333332985639572,5.4387731552124,9.04710102081299,8.89398670196533,0.244750761904722,0.51920471434723
228,6.4,342651.3,6367917.7,34.0949325561523,117.387001037598,2.50203204154968,68,1706.33569335938,0.685474991798401,0.108650997281075,-0.17391300201416,2.88987803459167,2.9993200302124,11.1781454086304,0.145765833333351,0.412165992298535
293,7.85,341382.9,6367356.2,14.5984115600586,112.506698608398,1.35884201526642,46,1728.69677734375,0.874356985092163,2.97665309906006,-0.161290004849434,1.5229389667511,2.00298404693604,16.3497753143311,0.496169333333309,1.12245326604268
423,5.6,341850,6365881,18.2494964599609,115.591003417969,4.67467308044434,53,1640.44604492188,0.113539002835751,0.927080988883972,-0.225225001573563,4.15480279922485,3.2001359462738,12.3441009521484,-0.134277666666686,-0.219312010061616
375,6.31,340649,6366374,57.4450454711914,166.467697143555,16.6084671020508,54,1449.89404296875,0.11769899725914,0.00281900004483759,-0.245902001857758,13.3266668319702,10.4847593307495,9.48539352416992,-0.645260333333337,-1.1836406997131
258,7.82,342026.6,6367567.2,13.6185607910156,103.883796691895,3.48834800720215,47,1684.78540039062,0.676307022571564,1.94287097454071,-0.14606699347496,3.21609592437744,2.59083008766174,14.7481422424316,0.417482666666691,0.669244185588807
473,8.01,340945,6365159,63.8403930664062,169.676193237305,8.22864532470703,53,1810.87658691406,0.730397999286652,0.0237520001828671,-0.15447199344635,8.9204273223877,7.34650897979736,9.23868846893311,0.408167999999985,0.770717483817103
490,5.5,340639,6364850,42.8463134765625,150.59049987793,10.4342641830444,61,1644.08544921875,0.70559298992157,0.664388000965118,-0.191175997257233,8.22566032409668,9.85575008392334,11.7064685821533,-0.814462166666662,-1.70587979240599
385,5.98,340934,6366020,28.9086608886719,134.751693725586,2.48886299133301,53,1667.27270507812,0.850769996643066,2.54572510719299,-0.19327700138092,2.40124702453613,3.10607194900513,14.6065244674683,-0.45737149999998,-1.48390936295246
119,6.31,341760.566,6369444.87,1.57621800899506,83.7109985351562,1.31245303153992,59,1726.15930175781,0.923141002655029,3.24183392524719,-0.19327700138092,1.4228310585022,1.27224004268646,18.7690486907959,-0.117937000000008,-0.144774140012705
482,7.9,341062,6365056,50.3375854492188,155.337493896484,17.7561645507812,56,1523.46484375,0.489710986614227,0.00246699992567301,-0.222222000360489,12.3681545257568,9.20411491394043,9.12778663635254,0.287919333333353,0.561692363707666
372,6.09,340409,6366457,79.8362731933594,192.246505737305,4.02152490615845,55,1781.29907226562,0.742399990558624,0.0508380010724068,-0.222222000360489,4.56536102294922,6.80807304382324,9.5989465713501,-0.281986000000013,-0.414135989415935
108,6.53,341285.574,6369392.64,2.46826910972595,90.9147491455078,0.510482013225555,61,1710.04211425781,0.922008991241455,3.9626190662384,-0.203252002596855,0.533468008041382,0.436569005250931,19.2978038787842,-0.00955733333332809,-0.151976647835567
435,5.57,340434,6365187,50.2824630737305,159.584197998047,4.8380331993103,40,1805.11730957031,0.392958998680115,0.317313998937607,-0.375,6.81387281417847,5.72970104217529,10.290548324585,-0.222016166666672,-0.184908082948227
