"class","expon","alfa","confusion","fpi","mpe","S","dJdphi","PICP","PIw"
2,1.2,0.00512442608774769,0.382688538026939,0.566462963050606,0.668602554292381,2.43442150916441,-1156.90585199485,0.129736842105263,3.97589374480771
2,1.3,0.00537960977349607,0.554669808246377,0.783943572894653,0.899594140581082,3.05436870780831,-1434.85598115321,0.156052631578947,3.99231534672817
2,1.4,0.00524745254617329,0.699274819993593,0.935493939346125,1.05417163586616,4.64178118660729,-1558.14626845708,0.144210526315789,3.88523651482949
2,1.5,0.00499713908279113,0.841801786705081,1.04412223035343,1.16126142081843,13.9609595363283,-1594.82014809331,0.170526315789474,3.88324673984033
2,1.6,0.00470029509847449,0.970795410548318,1.09158222881925,1.21567374532909,1466621.20073204,-1528.47416714048,0.157368421052631,3.85726739648642
3,1.2,0.00805891908325044,0.372431389944834,0.475723843668052,0.530324328275024,1.9813439508028,-1361.19240391504,0.111052631578947,3.8619952322516
3,1.3,0.00870046837369465,0.549668215041196,0.69113137995064,0.756312774583105,2.66830162292401,-1734.95868733348,0.0978947368421053,3.96806312063871
3,1.4,0.00908553408296545,0.750105120279527,0.862949170257924,0.927216291362921,17.3294874123611,-1922.30209584328,0.142894736842105,3.97659355210681
3,1.5,0.00913542300275168,0.849994794404705,0.940090664913669,1.01149196581286,3759585757.25109,-1857.20310100973,0.133684210526316,3.89551806363243
3,1.6,0.00896566317002108,0.96224033716227,1.02692816552172,1.09833800344005,1931252.78369883,-1803.11362627519,0.336315789473684,4.48379527146107
4,1.2,0.0113680887286376,0.335615431846623,0.40988948074091,0.440418960613992,1.46623322563032,-1356.26478778136,0.151842105263158,3.91357890630266
4,1.3,0.0124439131444172,0.519494041119179,0.633868273204962,0.672192415767288,1.61236701414417,-1810.98070126765,0.170263157894737,3.99513885109941
4,1.4,0.0133120517337673,0.705265196156561,0.818011268031524,0.857541744023462,3.67310246562969,-2039.60123011255,0.129473684210526,4.01933796925459
4,1.5,0.013979654939785,0.845654197288239,0.911288592633944,0.958056953208405,326596381.528134,-1973.39048065771,0.146842105263158,4.19781603716328
4,1.6,0.0142256441262771,0.955237529777135,1.00520424242422,1.05666826605468,12387967.6785111,-1882.28535082865,0.204736842105263,4.25710145193058
5,1.2,0.0144707657566536,0.328421906033608,0.378615857126138,0.388910249612667,1.34622977690916,-1351.15554292939,0.216315789473684,3.90331766596034
5,1.3,0.0163384972777646,0.508543193487438,0.603257296393883,0.622756946721434,1.34571560535703,-1849.21064125922,0.200526315789474,3.85029396060103
5,1.4,0.0181195335300836,0.739084149039077,0.816301503031357,0.837809782372588,37184.0119918048,-2161.10156397714,0.153157894736842,3.83351765691266
5,1.5,0.0196403276615402,0.846927391394217,0.903397276532786,0.936117553298372,31232106.8709732,-2038.08229336425,0.11,4.1855256433823
5,1.6,0.0200839030712357,0.950622978111016,0.994553098690399,1.0345826191053,11465494.027083,-1897.42437420802,0.290263157894737,4.4999276658375
6,1.2,0.0181385552797476,0.335388990698544,0.367048148402273,0.360511438356606,1.23105525993064,-1374.89772974392,0.242631578947368,3.81826175999255
6,1.3,0.0200913798780134,0.499024508278602,0.573076662003075,0.577793067009028,1.22220870199613,-1833.39531028646,0.203157894736842,3.84815383971946
6,1.4,0.0236202585280086,0.743864824310405,0.820397903095077,0.831538449916192,289497.312622832,-2250.85311887165,0.200526315789474,3.65322034800095
6,1.5,0.0253682928024821,0.849556081367037,0.902708639933538,0.926722657803848,117447256824.611,-2075.23403881684,0.136315789473684,4.15507352321458
6,1.6,0.0267542115994919,0.946233655545921,0.988008897233578,1.02058134071147,1641538589.94777,-1886.003128206,0.349473684210526,4.61936407308359
